actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.107158005,0.6892906,59.4,0.008890393,-0.016117882,0.48269346,0.006734006734006734,80.0,1.0957308,71.0275,2.8601604,-0.012413028,-2.7808938,5000,1.0016608,1000,1000.0,1000,5,0.0,887.3533935043961,704.1309581678361,551.8012643158436,5,132.48285599210328,3.3900077,-0.010300124,-3.124422,20000,1.0031121,1000,1000.0,1000,20,0.0,899.2317078560591,693.5720484614023,542.6323476731777,20,115.88123021743067,240.0,63.49862360954285,20000.0,12.0,723.3873755931854,240000.0,314.96745697956067,240000.0
0.09359009,0.6378597,80.0,0.006933663,-0.016258467,0.45836145,0.0,80.0,1.2200836,72.44437,2.9345267,-0.01047334,-2.7467225,5000,0.9978847,1000,1000.0,1000,5,0.0,802.1024495800957,688.7041789157316,591.2798649668694,5,84.87954646927058,2.8484786,-0.0056371563,-3.048672,20000,1.0018464,1000,1000.0,1000,20,0.0,933.87813282758,721.9939594398136,567.6089044585824,20,106.25070486677848,260.0,67.0221643447876,20000.0,13.0,790.5725581645966,260000.0,298.4087457562899,260000.0
0.1089937,0.58156586,53.4,0.010073124,-0.016178556,0.43327233,0.0149812734082397,80.0,0.9177263,79.21585,2.486416,-0.0070284554,-2.7171292,5000,0.9935846,1000,1000.0,1000,5,0.0,810.6673544608057,686.2551825155504,558.236030369997,5,94.03695301390651,2.7940178,-0.009885929,-2.702252,20000,0.99064237,1000,1000.0,1000,20,0.0,959.2801021747291,790.4444775804877,577.341323225759,20,112.18007379027684,280.0,62.82287812232971,20000.0,14.0,853.5250284671783,280000.0,318.35536030450055,280000.0
0.100156955,0.5159667,77.4,0.009420791,-0.01647558,0.40579867,0.002583979328165375,80.0,0.8362389,76.62083,2.6006298,-0.0011790586,-2.5446455,5000,0.9859231,1000,1000.0,1000,5,0.0,813.044377207756,698.1640876479447,606.9062463976443,5,86.1484370564584,2.7201316,-0.0023566033,-2.7048466,20000,0.98557353,1000,1000.0,1000,20,0.0,959.4771470762789,754.3603820559645,563.695783033967,20,127.86651186687119,300.0,69.01388883590698,20000.0,15.0,922.6697974205017,300000.0,289.7967400091541,300000.0
0.09753582,0.46334285,59.6,0.008387537,-0.015960619,0.385128,0.010067114093959731,80.0,0.813517,75.78281,2.7171671,-0.00087912695,-2.67827,5000,0.9797046,1000,1000.0,1000,5,0.0,965.096436932683,776.8109953645617,580.3030309565365,5,141.78616666681222,2.631498,0.0034668406,-2.8574328,20000,0.9815855,1000,1000.0,1000,20,0.0,960.8579954933375,759.7258883798611,601.1927143484354,20,125.45274280041681,320.0,62.98908185958862,20000.0,16.0,985.7829399108887,320000.0,317.5153440811023,320000.0
0.10142448,0.41041625,65.8,0.0077585783,-0.017274866,0.36532027,0.00303951367781155,80.0,0.752856,79.924576,2.377741,0.0035497693,-2.538982,5000,0.9851537,1000,1000.0,1000,5,0.0,805.8997442666441,721.3658835329115,627.2359253820032,5,57.406576736690624,2.5382762,-0.0032544914,-2.3977652,20000,0.9758667,1000,1000.0,1000,20,0.0,968.5345530449413,784.3549473916646,575.0110210813582,20,131.33151665722917,340.0,66.52238988876343,20000.0,17.0,1052.4346539974213,340000.0,300.6506536136682,340000.0
0.08433227,0.36299187,80.0,0.008614091,-0.017348785,0.34835607,0.0,80.0,0.5932217,72.49673,2.3226688,0.0020179125,-2.3207617,5000,0.98105323,1000,1000.0,1000,5,0.0,954.6100663691759,710.4054106213619,587.5178802984301,5,126.63492888536315,2.4326346,-0.0076847407,-2.523667,20000,0.97902083,1000,1000.0,1000,20,0.0,901.7363705839962,722.2211928459252,583.7575765857473,20,104.99932379315821,360.0,61.05884408950806,20000.0,18.0,1113.6304769515991,360000.0,327.55287621693884,360000.0
0.09331835,0.3044416,77.6,0.0075686616,-0.017287003,0.32871836,0.002577319587628866,80.0,0.76271737,79.32795,2.3926792,-0.004032671,-2.2132444,5000,0.97421855,1000,1000.0,1000,5,0.0,892.7501624128781,750.7717373960652,612.0564634650946,5,98.61322646727938,2.3901436,-0.00557253,-2.4676628,20000,0.9715437,1000,1000.0,1000,20,0.0,972.3386592678726,790.6756524466152,630.6025831140578,20,107.02030955956857,380.0,68.5312716960907,20000.0,19.0,1182.2984476089478,380000.0,291.83757290674765,380000.0
0.09771078,0.25530303,58.2,0.009514667,-0.018232584,0.31313378,0.010309278350515464,80.0,0.6711276,78.80673,2.0866933,-0.014139794,-2.1268697,5000,0.95484245,1000,1000.0,1000,5,0.0,979.849817157723,874.5817980626598,740.2861325219274,5,86.12603991412854,2.4050035,-0.0039216196,-2.2456608,20000,0.9675961,1000,1000.0,1000,20,0.0,986.3859303444624,749.4663178454532,595.7568680777331,20,114.87917660442008,400.0,63.39098906517029,20000.0,20.0,1245.8881373405457,400000.0,315.50225505140213,400000.0
0.09642151,0.20169964,80.0,0.007900012,-0.017572803,0.29712075,0.0,80.0,0.49711257,77.25957,2.0902493,0.00830078,-2.1208937,5000,0.9573269,1000,1000.0,1000,5,0.0,976.1649986878037,758.9088203005492,631.4417100958526,5,129.91799221611217,2.3577328,-0.0058892234,-2.3229485,20000,0.9614989,1000,1000.0,1000,20,0.0,980.2849297448993,760.3879630771931,597.1799082234502,20,144.35487356473874,420.0,75.944819688797,20000.0,21.0,1321.9617238044739,420000.0,263.34910112309217,420000.0
0.087657645,0.15256198,35.0,0.009954846,-0.012624296,0.28276742,0.02857142857142857,80.0,0.6616028,79.42288,2.1522224,-0.00883496,-2.065795,5000,0.9637849,1000,1000.0,1000,5,0.0,887.2215088754892,735.8446217825636,612.9664409663528,5,116.34624494438543,2.2713552,-0.002245679,-2.14395,20000,0.9620591,1000,1000.0,1000,20,0.0,982.2436883673072,787.8158662768371,634.5285371802747,20,88.00537116179379,440.0,56.39857244491577,20000.0,22.0,1378.4898591041565,440000.0,354.61890492944497,440000.0
0.10294242,0.12177349,32.2,0.008684781,-0.014210172,0.27417055,0.024844720496894408,80.0,0.5184471,83.887245,2.0078604,-0.0029105297,-2.0928013,5000,0.9620265,1000,1000.0,1000,5,0.0,925.7783094719052,746.6001882643438,662.6376913567074,5,93.54066184147156,2.0988653,-0.00505103,-2.2633767,20000,0.95574206,1000,1000.0,1000,20,0.0,978.6039385944605,827.918748044665,610.6717913560569,20,119.46102712990223,460.0,57.121546268463135,20000.0,23.0,1435.7885491847992,460000.0,350.1305778033887,460000.0
0.102239974,0.08347807,62.2,0.008274445,-0.01723892,0.2640248,0.006430868167202572,80.0,0.51604676,78.78921,2.198188,-0.009138259,-2.0319767,5000,0.95416856,1000,1000.0,1000,5,0.0,975.3424522476271,783.331572847208,626.8651687130332,5,157.51311804271708,2.0999784,-0.0020710856,-2.2448595,20000,0.9612095,1000,1000.0,1000,20,0.0,985.2625303566456,768.5454502132255,607.8014119751751,20,119.71637846360986,480.0,65.21386170387268,20000.0,24.0,1501.1247169971466,480000.0,306.68326453074184,480000.0
0.10041869,0.047736675,61.6,0.008620356,-0.016523698,0.25470826,0.006493506493506494,80.0,0.3867192,83.605316,1.9777652,-0.009233786,-1.9148426,5000,0.955288,1000,1000.0,1000,5,0.0,970.5927239246666,832.161100864783,699.3802910149097,5,87.81568218281878,2.1074047,-0.0055425684,-2.0300279,20000,0.9580495,1000,1000.0,1000,20,0.0,982.7941271960735,823.5356257057981,625.112524535507,20,121.70949421459673,500.0,64.49894881248474,20000.0,25.0,1565.7526302337646,500000.0,310.0825729446415,500000.0
